Rank,Female Name,Count,Male Name,Count_
1,Mary,54276,John,108533
2,Margaret,49170,William,87239
3,Elizabeth,36556,James,69987
4,Sarah,28230,David,62774
5,Patricia,20689,Robert,56511
6,Catherine,19713,Michael,51768
7,Susan,19165,Peter,44758
8,Helen,18881,Thomas,42467
9,Emma,18192,George,39195
10,Alice,17478,Richard,31950
11,Jennifer,16337,Andrew,31718
12,Christine,16227,Paul,29426
13,Karen,15886,Charles,28599
14,Kathleen,15766,Christopher,27684
15,Dorothy,15694,Daniel,26828
16,Annie,15183,Mark,25525
17,Emily,14964,Matthew,24726
18,Judith,14172,Stephen,23115
19,Barbara,14145,Arthur,20996
20,Michelle,13710,Samuel,20980
21,Jessica,13668,Ian,20554
22,Rebecca,13225,Joseph,20499
23,Jane,12908,Edward,20463
24,Lisa,12837,Henry,19839
25,Ellen,12656,Brian,19738
26,Shirley,12106,Alexander,19013
27,Anna,12053,Anthony,18475
28,Rachel,11872,Joshua,17758
29,Grace,11687,Benjamin,17655
30,Hannah,11564,Kevin,17182
31,Charlotte,11520,Raymond,16693
32,Florence,11445,Frederick,16367
33,Angela,11037,Jack,15954
34,Amy,11014,Ronald,15881
35,Joan,10990,Jason,15547
36,Nicola,10984,Kenneth,15413
37,Jessie,10855,Alan,15409
38,Julie,10795,Donald,15078
39,Sandra,10751,Colin,14684
40,Linda,10520,Albert,14650
41,Frances,10425,Bruce,14561
42,Isabella,10314,Nicholas,14079
43,Joanne,10123,Craig,13525
44,Heather,10079,Francis,13015
45,Anne,10043,Patrick,12908
46,Janet,10041,Alfred,12804
47,Edith,9905,Allan,12722
48,Deborah,9782,Timothy,12660
49,Jean,9700,Leslie,12456
50,Olivia,9615,Douglas,12248
51,Lucy,9540,Steven,12213
52,Pamela,9536,Walter,12148
53,Eileen,9430,Wayne,11959
54,Wendy,9392,Graham,11933
55,Marie,9188,Philip,11868
56,Ruby,9112,Graeme,11535
57,Ethel,9062,Gordon,11118
58,Sharon,8932,Murray,11010
59,Robyn,8907,Eric,10903
60,Agnes,8896,Simon,10865
61,Sophie,8828,Shane,10721
62,Amanda,8566,Trevor,10717
63,Maria,8437,Ernest,10692
64,Samantha,8359,Aaron,10440
65,Kate,8302,Barry,10364
66,Elsie,8300,Ryan,10288
67,Donna,8163,Grant,10140
68,Ann,8115,Scott,10122
69,Ella,8109,Keith,9820
70,Joyce,7972,Gary,9819
71,Lynette,7930,Gregory,9511
72,Carol,7929,Jacob,9492
73,Diane,7921,Nathan,9486
74,Laura,7822,Liam,9388
75,Janice,7674,Norman,9340
76,Alison,7581,Frank,9165
77,Jacqueline,7580,Harold,9153
78,Olive,7555,Luke,9091
79,Ruth,7492,Geoffrey,9078
80,Tania,7489,Jonathan,9051
81,Melissa,7450,Leonard,8807
82,Irene,7419,Ross,8729
83,Tracey,7356,Harry,8555
84,Violet,7354,Adam,8445
