ID,Gender,Age,Income,Spending
1,Female,47,600240,0.16
2,Male,60,150060,0.04
3,Male,63,240096,0.51
4,Male,48,270108,0.46
5,Female,35,105042,0.35
6,Male,68,315126,0.43
7,Female,46,125050,0.05
8,Female,38,565226,0.91
9,Male,19,370148,0.1
10,Female,35,370148,0.72
11,Male,37,100040,0.13
12,Male,57,270108,0.51
13,Male,26,310124,0.55
14,Female,41,515206,0.17
15,Female,49,325130,0.59
16,Female,34,290116,0.6
17,Female,54,235094,0.59
18,Male,53,165066,0.04
19,Female,19,325130,0.5
20,Female,56,395158,0.35
21,Male,59,355142,0.11
22,Female,50,215086,0.45
23,Female,50,200080,0.55
24,Female,45,270108,0.53
25,Female,23,310124,0.41
26,Female,47,390156,0.16
27,Female,32,485194,0.86
28,Female,21,310124,0.42
29,Female,24,195078,0.65
30,Female,36,435174,0.27
31,Female,66,315126,0.5
32,Female,23,80032,0.77
33,Male,32,365146,0.73
34,Female,23,145058,0.87
35,Female,36,185074,0.26
36,Male,30,685274,0.83
37,Female,40,345138,0.58
38,Male,27,440176,0.69
39,Male,34,390156,0.9
40,Female,49,195078,0.28
41,Female,20,185074,0.75
42,Male,22,100040,0.79
43,Male,33,565226,0.08
44,Female,54,505202,0.24
45,Male,48,305122,0.42
46,Male,70,245098,0.55
47,Male,18,240096,0.59
48,Male,43,390156,0.17
49,Female,29,395158,0.83
50,Male,53,230092,0.46
51,Male,37,390156,0.01
52,Male,64,95038,0.03
53,Female,33,430172,0.95
54,Male,54,315126,0.46
55,Female,45,140056,0.32
56,Male,40,355142,0.95
57,Female,21,270108,0.57
58,Female,36,515206,0.85
59,Female,50,335134,0.57
60,Male,39,355142,0.75
61,Female,47,245098,0.42
62,Male,39,345138,0.91
63,Male,21,75030,0.81
64,Female,30,440176,0.86
65,Female,29,365146,0.88
66,Male,19,240096,0.59
67,Male,66,315126,0.48
68,Female,27,390156,0.89
69,Female,29,490196,0.88
70,Male,49,310124,0.56
71,Female,30,95038,0.72
72,Male,47,215086,0.41
73,Female,60,250100,0.56
74,Female,23,350140,0.29
75,Female,31,360144,0.71
76,Female,49,165066,0.14
77,Female,46,270108,0.44
78,Female,23,270108,0.52
79,Female,54,140056,0.14
80,Male,32,685274,0.18
81,Male,20,105042,0.66
82,Female,21,150060,0.73
83,Female,31,85034,0.4
84,Female,30,390156,0.78
85,Male,59,465186,0.14
86,Male,70,230092,0.56
87,Male,65,315126,0.52
88,Female,22,85034,0.76
89,Male,48,195078,0.36
90,Female,44,365146,0.07
91,Female,27,230092,0.51
92,Female,38,335134,0.4
93,Male,26,270108,0.54
94,Female,34,390156,0.22
95,Male,27,335134,0.56
96,Male,33,210084,0.6
97,Male,59,270108,0.47
98,Male,69,220088,0.46
99,Female,35,90036,0.06
100,Female,23,90036,0.94
101,Female,19,315126,0.54
102,Female,32,240096,0.47
103,Male,25,120048,0.73
104,Male,18,165066,0.92
105,Female,67,235094,0.52
106,Male,38,355142,0.75
107,Female,41,495198,0.39
108,Female,31,350140,0.77
109,Female,47,300120,0.47
110,Male,19,405162,0.05
111,Female,49,310124,0.48
112,Male,24,300120,0.52
113,Female,38,320128,0.42
114,Male,47,355142,0.09
115,Male,36,435174,0.1
116,Male,40,435174,0.13
117,Female,34,515206,0.23
118,Female,27,200080,0.47
119,Female,31,215086,0.54
120,Male,19,75030,0.39
121,Female,22,285114,0.55
122,Male,52,115046,0.29
123,Female,30,170068,0.73
124,Male,58,440176,0.15
125,Female,35,115046,0.98
126,Female,49,270108,0.42
127,Female,32,300120,0.42
128,Female,35,95038,0.99
129,Male,35,140056,0.61
130,Male,20,305122,0.49
131,Male,20,365146,0.05
132,Female,44,390156,0.2
133,Male,35,465186,0.9
134,Male,50,425170,0.26
135,Male,35,120048,0.35
136,Female,68,240096,0.48
137,Female,60,250100,0.49
138,Female,68,295118,0.55
139,Male,38,270108,0.55
140,Female,58,100040,0.15
141,Female,55,285114,0.58
142,Male,28,505202,0.68
143,Male,46,490196,0.15
144,Female,31,195078,0.61
145,Male,32,375150,0.93
146,Male,67,95038,0.14
147,Male,40,270108,0.48
148,Female,38,390156,0.76
149,Female,51,220088,0.5
150,Male,19,320128,0.46
151,Male,48,300120,0.49
152,Female,49,210084,0.52
153,Male,48,385154,0.36
154,Female,57,375150,0.05
155,Female,63,325130,0.43
156,Female,40,145058,0.31
157,Male,29,140056,0.82
158,Female,65,190076,0.35
159,Male,32,630252,0.74
160,Male,34,390156,0.01
161,Female,35,600240,0.79
162,Female,51,335134,0.43
163,Female,32,380152,0.87
164,Female,31,200080,0.42
165,Male,30,495198,0.97
166,Male,36,435174,0.92
167,Female,20,80032,0.06
168,Male,67,270108,0.41
169,Male,43,355142,0.35
170,Female,27,300120,0.5
171,Male,28,435174,0.75
172,Female,50,290116,0.46
173,Male,25,385154,0.12
174,Female,32,385154,0.74
175,Female,42,170068,0.17
176,Male,31,125050,0.73
177,Female,43,240096,0.5
178,Female,36,425170,0.75
179,Female,30,390156,0.73
180,Female,24,100040,0.77
181,Male,39,390156,0.88
182,Female,29,200080,0.42
183,Female,45,630252,0.28
184,Female,18,325130,0.48
185,Female,31,405162,0.93
186,Male,19,230092,0.55
187,Male,32,435174,0.63
188,Male,24,190076,0.92
189,Male,59,215086,0.6
190,Female,32,515206,0.69
191,Female,21,165066,0.81
192,Male,18,295118,0.41
193,Male,28,385154,0.97
194,Female,40,300120,0.4
195,Female,28,380152,0.4
196,Female,25,360144,0.34
197,Female,37,485194,0.32
198,Male,67,310124,0.59
199,Male,42,430172,0.2
200,Female,52,440176,0.13
